Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
01 07 2020 00:00,380.0477905,5.31133604,416.3289078,259.9949036
01 07 2020 00:10,453.7691956,5.672166824,519.9175111,268.6411133
01 07 2020 00:20,306.3765869,5.216036797,390.9000158,272.5647888
01 07 2020 00:30,419.6459045,5.659674168,516.127569,271.2580872
01 07 2020 00:40,380.6506958,5.577940941,491.702972,265.6742859
01 07 2020 00:50,402.3919983,5.604052067,499.436385,264.5786133
01 07 2020 01:00,447.6057129,5.793007851,557.3723633,266.1636047
01 07 2020 01:10,387.2421875,5.306049824,414.8981788,257.9494934
01 07 2020 01:20,463.6512146,5.584629059,493.6776521,253.4806976
01 07 2020 01:30,439.725708,5.523228168,475.7067828,258.7237854
01 07 2020 01:40,498.1817017,5.724115849,535.841397,251.8509979
01 07 2020 01:50,526.8162231,5.934198856,603.0140765,265.5046997
01 07 2020 02:00,710.5872803,6.547413826,824.6625136,274.2329102
01 07 2020 02:10,655.1942749,6.199746132,693.4726411,266.7331848
01 07 2020 02:20,754.7625122,6.505383015,808.0981385,266.7604065
01 07 2020 02:30,790.1732788,6.634116173,859.4590208,270.4931946
01 07 2020 02:40,742.9852905,6.378912926,759.4345366,266.5932922
01 07 2020 02:50,748.2296143,6.446652889,785.2810099,265.5718079
01 07 2020 03:00,736.6478271,6.415082932,773.1728635,261.1586914
01 07 2020 03:10,787.2462158,6.437530994,781.7712157,257.5602112
01 07 2020 03:20,722.8640747,6.220024109,700.7646999,255.9264984
01 07 2020 03:30,935.0333862,6.89802599,970.7366269,250.0128937
01 07 2020 03:40,1220.609009,7.60971117,1315.048928,255.9857025
01 07 2020 03:50,1053.771973,7.288355827,1151.265744,255.4445953
01 07 2020 04:00,1493.807983,7.943101883,1497.583724,256.4074097
01 07 2020 04:10,1724.488037,8.376161575,1752.199662,252.4125977
01 07 2020 04:20,1636.935059,8.23695755,1668.470707,247.9794006
01 07 2020 04:30,1385.488037,7.879590988,1461.815791,238.6096039
01 07 2020 04:40,1098.932007,7.101376057,1062.285034,245.0955963
01 07 2020 04:50,1021.458008,6.955307007,995.9958546,245.410202
01 07 2020 05:00,1164.892944,7.098298073,1060.859712,235.2279053
01 07 2020 05:10,1073.332031,6.953630924,995.2509608,242.8726959
01 07 2020 05:20,1165.307983,7.249577999,1132.416861,244.8356934
01 07 2020 05:30,1177.98999,7.294691086,1154.365305,242.4815979
01 07 2020 05:40,1170.536011,7.376369953,1194.843099,247.9772034
01 07 2020 05:50,1145.536011,7.448554039,1231.430706,249.6829987
01 07 2020 06:00,1114.026978,7.23925209,1127.433206,248.401001
01 07 2020 06:10,1153.185059,7.329211235,1171.355044,244.6217041
01 07 2020 06:20,1125.331055,7.139705181,1080.139085,244.6318054
01 07 2020 06:30,1228.732056,7.474228859,1244.633534,245.7859955
01 07 2020 06:40,1021.79303,7.033174038,1030.992686,248.6522064
01 07 2020 06:50,957.3781738,6.886455059,965.6833344,244.6116943
01 07 2020 07:00,909.8878174,6.887821198,966.2791049,235.8482971
01 07 2020 07:10,1000.953979,7.216432095,1116.471899,232.8426971
01 07 2020 07:20,1024.478027,7.068597794,1047.170231,229.933197
01 07 2020 07:30,1009.533997,6.938295841,988.4519407,230.1367035
01 07 2020 07:40,899.492981,6.536687851,820.4166586,234.9338074
01 07 2020 07:50,725.1101074,6.180624962,686.6369422,232.8379059
01 07 2020 08:00,585.2593994,5.816825867,564.9276595,240.3287964
01 07 2020 08:10,443.9139099,5.450150967,454.7735871,238.126297
01 07 2020 08:20,565.2537842,5.81814909,565.3490932,235.800293
01 07 2020 08:30,644.0377808,6.130272865,668.8235693,224.9586945
01 07 2020 08:40,712.0588989,6.347077847,747.4606734,216.803894
01 07 2020 08:50,737.3947754,6.347436905,747.5951091,205.7852936
01 07 2020 09:00,725.868103,6.194368839,691.5463343,199.8484955
01 07 2020 09:10,408.997406,4.977198124,330.4176304,207.9978027
01 07 2020 09:20,628.4368286,5.959111214,611.2838365,210.954895
01 07 2020 09:30,716.1005859,6.21137619,697.6494744,215.6940002
01 07 2020 09:40,711.4956055,6.111453056,662.235163,220.8426056
01 07 2020 09:50,838.1519165,6.456322193,789.0114224,237.0653076
01 07 2020 10:00,881.0620728,6.666657925,872.7396259,235.6674957
01 07 2020 10:10,663.703125,6.16287899,680.3278917,229.3296967
01 07 2020 10:20,578.2615967,6.013167858,628.4425608,234.9006042
01 07 2020 10:30,465.6200867,5.561203003,486.7795676,230.4228058
01 07 2020 10:40,311.0509033,4.960731983,326.4110254,229.5375061
01 07 2020 10:50,230.0554962,4.60387516,244.3162442,231.7984924
01 07 2020 11:00,233.9906006,4.554533958,233.6327805,234.1056061
01 07 2020 11:10,175.5921936,4.26362896,173.5736631,228.7767029
01 07 2020 11:20,118.1331024,3.894139051,108.5712211,227.9389954
01 07 2020 11:30,142.2024994,4.038761139,130.2299896,224.4649963
01 07 2020 11:40,212.5661926,4.505650997,223.1967841,224.9505005
01 07 2020 11:50,222.6100006,4.543397903,231.2425073,229.127594
01 07 2020 12:00,194.1811981,4.323760986,185.5984796,227.0399933
01 07 2020 12:10,82.64074707,3.634437084,68.5028198,230.3146057
01 07 2020 12:20,75.8952179,3.705512047,78.39616535,233.9532928
01 07 2020 12:30,41.94723892,3.253968,29.28695563,233.0659027
01 07 2020 12:40,118.5345993,3.775136948,88.87136533,227.7534943
01 07 2020 12:50,250.7559052,4.693500996,264.1192574,229.8966064
01 07 2020 13:00,346.8644104,5.002939224,336.7219982,235.2794952
01 07 2020 13:10,416.4179077,5.364749908,430.921089,235.5852966
01 07 2020 13:20,331.9414978,5.016181946,339.9849402,229.9429016
01 07 2020 13:30,583.4799194,5.970407963,615.0556308,235.6952972
01 07 2020 13:40,776.5526733,6.655520916,868.1808449,241.4573975
01 07 2020 13:50,752.7263794,6.600903988,846.0294095,242.7821045
01 07 2020 14:00,589.0731201,5.981378078,618.7314427,234.9844055
01 07 2020 14:10,1109.128052,7.424593925,1219.199787,235.1472931
01 07 2020 14:20,1482.459961,8.186451912,1638.508909,238.4790955
01 07 2020 14:30,1523.430054,8.27493,1691.147039,237.0332031
01 07 2020 14:40,1572.170044,8.449202538,1796.76309,238.3323975
01 07 2020 14:50,1698.939941,8.575974464,1875.047197,235.6414032
01 07 2020 15:00,1616.845947,8.282259941,1695.538777,236.4613953
01 07 2020 15:10,1796.823975,8.734552383,1974.4758,234.3547974
01 07 2020 15:20,1885.860962,8.764103889,1993.170712,231.0016022
01 07 2020 15:30,2327.511963,9.669431686,2568.827129,227.6000977
01 07 2020 15:40,2499.162109,10.14109039,2876.753616,227.7315979
01 07 2020 15:50,2820.512939,10.77241993,3186.029883,225.2763977
01 07 2020 16:00,2812.279053,10.64752007,3133.259224,224.680603
01 07 2020 16:10,2530.447021,9.982661247,2781.274041,225.5195007
01 07 2020 16:20,2399.121094,9.874385834,2711.492458,227.2738037
01 07 2020 16:30,2335.587891,9.785479546,2651.341009,229.2554932
01 07 2020 16:40,2341.133057,9.614232063,2527.945451,230.7368927
01 07 2020 16:50,2391.8479,9.618504524,2531.14794,229.490799
01 07 2020 17:00,2118.389893,9.098683357,2207.79282,223.960907
01 07 2020 17:10,1866.845947,8.677425385,1938.478601,219.7937012
01 07 2020 17:20,1865.619019,8.774898529,2000.011716,219.0449066
01 07 2020 17:30,1862.447998,8.689981461,1946.373955,215.3352051
01 07 2020 17:40,1884.119019,8.631073952,1909.416256,216.2799988
01 07 2020 17:50,1855.776978,8.614569664,1899.100734,214.5290985
01 07 2020 18:00,1958.133057,9.21884346,2285.917032,212.1799011
01 07 2020 18:10,2228.24292,10.04951954,2822.50949,210.3085938
01 07 2020 18:20,2529.291016,10.31871033,2974.866796,210.5881042
01 07 2020 18:30,2788.25708,10.76675987,3183.72246,207.4813995
01 07 2020 18:40,2692.929932,10.55825043,3093.110672,208.5518951
01 07 2020 18:50,2535.353027,10.25072002,2938.394607,208.0106964
01 07 2020 19:00,2584.665039,10.46477032,3048.823833,205.7528992
01 07 2020 19:10,2960.183105,11.39078045,3393.645541,200.6542969
01 07 2020 19:20,3062.978027,11.56554031,3437.597135,198.1242981
01 07 2020 19:30,3024.39209,11.2802496,3362.668742,198.5381927
01 07 2020 19:40,3187.9729,11.33677959,3378.826271,200.4904022
01 07 2020 19:50,3387.228027,11.80463982,3488.248491,199.2469025
01 07 2020 20:00,3209.018066,11.3635397,3386.244486,199.8054962
01 07 2020 20:10,3272.665039,11.63259029,3452.881108,198.2677002
01 07 2020 20:20,3209.698975,11.44476032,3407.867876,195.6320038
01 07 2020 20:30,3134.518066,11.27190018,3360.225775,196.6611023
01 07 2020 20:40,2977.824951,11.05900955,3292.880925,196.5158997
01 07 2020 20:50,3431.772949,12.10377979,3537.173706,198.2570038
01 07 2020 21:00,3604.209961,12.92813969,3597.469467,201.5825958
01 07 2020 21:10,3601.327881,13.31941986,3600,201.9421997
01 07 2020 21:20,3604.426025,13.12152004,3600,203.5077972
01 07 2020 21:30,3604.391113,13.23544979,3600,202.6929932
01 07 2020 21:40,3604.337891,13.23589993,3600,202.9362946
01 07 2020 21:50,3554.687988,13.02956009,3600,201.2539063
01 07 2020 22:00,3479.407959,12.96393967,3597.794635,201.3408966
01 07 2020 22:10,3472.333008,12.90295029,3597.13106,200.9795074
01 07 2020 22:20,3491.510986,12.76634026,3593.704942,200.9960022
01 07 2020 22:30,3536.989014,12.89834976,3597.059449,200.5142059
01 07 2020 22:40,3528.658936,12.74211025,3592.814313,202.8952942
01 07 2020 22:50,3581.540039,12.31826019,3562.990095,202.841095
01 07 2020 23:00,3570.079102,12.41880989,3572.556143,202.4118042
01 07 2020 23:10,3597.604004,12.54298973,3582.204643,201.6253052
01 07 2020 23:20,3441.025879,12.67599964,3589.945634,199.3220978
01 07 2020 23:30,3373.969971,13.00304985,3600,197.1307068
01 07 2020 23:40,3369.812988,13.29767036,3600,196.4936066
01 07 2020 23:50,3375.903076,12.84405994,3595.984792,195.3150024
02 07 2020 00:00,3377.649902,12.70538998,3591.300461,196.0422058
02 07 2020 00:10,3374.423096,12.1833601,3547.627655,197.7438965
02 07 2020 00:20,3401.081055,12.20514011,3550.307222,196.8088074
02 07 2020 00:30,3469.412109,12.60188007,3585.959181,193.8157043
02 07 2020 00:40,3511.809082,12.84455013,3595.996394,194.3466034
02 07 2020 00:50,3536.759033,12.49705982,3578.911555,196.009201
02 07 2020 07:00,3467.808105,12.09607029,3536.105139,197.9526978
02 07 2020 07:10,3460.677002,12.19612026,3549.206917,201.330307
02 07 2020 07:20,3589.443115,12.55035019,3582.702554,201.1882019
02 07 2020 07:30,3527.718994,12.6156702,3586.762967,202.6235962
02 07 2020 07:40,3561.26709,13.10278034,3600,201.7666016
02 07 2020 07:50,3604.068115,13.68774986,3600,199.0195007
02 07 2020 02:00,3604.176025,14.10241985,3600,196.2552032
02 07 2020 02:10,3593.200928,14.39330959,3600,195.8798981
02 07 2020 02:20,3493.821045,14.07954979,3600,197.6403046
02 07 2020 02:30,3470.701904,14.05440044,3600,197.2447968
02 07 2020 02:40,3436.610107,13.51247025,3600,195.9954071
02 07 2020 02:50,3401.455078,13.71004963,3600,192.4197998
02 07 2020 03:00,3395.23291,13.7423296,3600,191.0137024
02 07 2020 03:10,3417.503906,13.14186001,3600,192.2046967
02 07 2020 03:20,3465.108887,12.86771011,3596.50506,192.771698
02 07 2020 03:30,3467.417969,12.84727001,3596.060138,192.4705048
02 07 2020 03:40,3522.406982,12.73211002,3592.421666,192.5679016
02 07 2020 03:50,3510.10791,12.51620007,3580.322941,194.9992065
02 07 2020 04:00,3513.844971,12.59866047,3585.767414,196.0422974
02 07 2020 04:10,3564.008057,13.23031998,3600,196.4087982
02 07 2020 04:20,3475.278076,13.0946703,3600,198.5249939
02 07 2020 04:30,3561.990967,12.91687965,3597.329407,198.0101013
02 07 2020 04:40,3521.554932,12.63354969,3587.762741,197.6634979
02 07 2020 04:50,3493.60791,12.82567024,3595.524457,201.1040955
02 07 2020 05:00,3555.304932,12.54162025,3582.111096,200.3634033
02 07 2020 05:10,3377.12793,12.10496998,3537.337786,196.9826965
02 07 2020 05:20,3479.626953,12.36250019,3567.394707,199.798996
02 07 2020 05:30,3539.112061,12.60391045,3586.079315,201.2702942
02 07 2020 05:40,3430.436035,12.21222019,3551.161616,198.9846039
02 07 2020 05:50,3301.917969,11.98762035,3520.011831,202.5711975
02 07 2020 06:00,3235.543945,11.67932987,3463.031603,200.7035065
02 07 2020 06:10,3519.022949,12.46971989,3576.798254,197.8733978
02 07 2020 06:20,3469.537109,12.49489975,3578.748756,201.1011047
02 07 2020 06:30,3296.186035,11.78983021,3485.417643,200.3565979
02 07 2020 06:40,3045.51001,10.90355015,3237.314957,199.4629059
02 07 2020 06:50,3444.741943,12.18807983,3548.214895,202.7460022
02 07 2020 07:00,3417.746094,11.97813034,3518.508247,199.4022064
02 07 2020 07:10,2807.613037,10.67446995,3144.977295,197.2297058
02 07 2020 07:20,2493.393066,9.69664669,2588.59196,200.3191986
02 07 2020 07:30,3215.196045,11.41759014,3400.782508,200.488205
02 07 2020 07:40,3589.590088,12.68927002,3590.573175,199.5281067
02 07 2020 07:50,3599.149902,13.05860043,3600,200.6078033
02 07 2020 08:00,3375.177002,11.52081966,3426.922472,195.8547058
02 07 2020 08:10,3346.980957,11.51231003,3424.84719,197.7467041
02 07 2020 08:20,3567.967041,12.41629982,3572.336603,199.1638031
02 07 2020 08:30,3519.264893,12.16014957,3544.686608,198.3968964
02 07 2020 08:40,3485.191895,11.67107964,3461.269666,194.6569977
02 07 2020 08:50,3145.562988,11.14585972,3321.545696,195.8325043
02 07 2020 09:00,2978.310059,10.77289963,3186.225079,193.1703949
02 07 2020 09:10,3179.008057,10.92975998,3247.07462,195.0997009
02 07 2020 09:20,3461.581055,12.14006042,3542.069502,198.2947998
02 07 2020 09:30,3082.549072,11.19556046,3337.205225,200.7570038
02 07 2020 09:40,3493.657959,12.94869041,3597.678446,204.0805969
02 07 2020 09:50,3601.045898,14.87942982,3600,197.5942993
02 07 2020 10:00,3597.564941,15.12405968,3600,196.3455963
02 07 2020 10:10,3602.172119,16.29367065,3600,196.8367004
02 07 2020 10:20,3601.99292,16.12397957,3600,192.2306061
02 07 2020 10:30,3600.791016,15.27460003,3600,190.949295
02 07 2020 10:40,3590.75,13.56672001,3600,192.9456024
02 07 2020 10:50,3601.845947,15.36779976,3600,194.7528076
02 07 2020 11:00,3601.870117,15.86174965,3600,195.0402985
02 07 2020 11:10,3591.655029,14.92051029,3600,197.9895935
02 07 2020 11:20,3579.024902,13.60853004,3600,201.4945068
02 07 2020 11:30,3598.131104,14.46385956,3600,200.4884033
02 07 2020 11:40,3525.333008,12.68828964,3590.527705,202.2259979
02 07 2020 11:50,3560.699951,13.55690002,3600,202.153595
02 07 2020 12:00,3537.676025,13.32281017,3600,203.2893982
02 07 2020 12:10,3491.291016,12.60700989,3586.261512,201.0937042
02 07 2020 12:20,3530.766113,12.31476021,3562.628404,197.5440979
02 07 2020 12:30,2915.839111,10.3801899,3006.71767,200.9197998
02 07 2020 12:40,2178.658936,9.11702919,2219.691985,201.0245056
02 07 2020 12:50,2244.412109,9.253190994,2308.322526,198.9759979
02 07 2020 13:00,1278.89502,9.072306633,2190.704763,198.2364044
02 07 2020 13:10,2832.934082,10.34463024,2988.424599,196.6472015
02 07 2020 13:20,3205.9729,11.10330963,3307.71074,200.1464996
02 07 2020 13:30,3149.284912,11.06910992,3296.300642,198.8968048
02 07 2020 13:40,3273.656006,11.32581043,3375.742901,201.1446075
02 07 2020 13:50,3114.099121,11.01513958,3277.761152,204.9272003
02 07 2020 14:00,3111.060059,10.90725994,3238.706158,204.813797
02 07 2020 14:10,3361.011963,11.76941013,3481.44923,209.778595
02 07 2020 14:20,3421.419922,11.87483025,3501.130346,209.6006012
02 07 2020 14:30,3520.148926,12.16926003,3545.851555,208.3181
02 07 2020 14:40,3589.427002,12.82061958,3595.389466,211.1817932
02 07 2020 14:50,3495.115967,12.57161999,3584.095307,209.4647064
02 07 2020 15:00,3298.761963,11.39929962,3395.929165,205.625
02 07 2020 15:10,2894.440918,10.54543018,3087.174334,200.6107025
02 07 2020 15:20,3486.628906,12.30932999,3562.063389,202.0561981
02 07 2020 15:30,3455.24707,12.1683197,3545.731948,203.7207031
02 07 2020 15:40,3556.785889,12.28707981,3559.699203,204.6085968
02 07 2020 15:50,3375.582031,12.01319027,3523.986209,201.7415009
02 07 2020 16:00,3493.979004,12.21352959,3551.318734,201.7156067
02 07 2020 16:10,3549.147949,12.93774033,3597.57459,199.9685059
02 07 2020 16:20,3483.315918,13.66942024,3600,203.870697
02 07 2020 16:30,3589.858887,13.69785976,3600,204.8023071
02 07 2020 16:40,3584.235107,12.75835991,3593.421089,202.6508026
02 07 2020 16:50,3599.008057,12.76517963,3593.664238,201.2570953
02 07 2020 17:00,3602.637939,13.07721996,3600,203.4407043
02 07 2020 17:10,3550.563965,12.59340954,3585.451317,205.1535034
02 07 2020 17:20,3552.782959,12.51366997,3580.139581,205.008194
02 07 2020 17:30,3585.010986,12.53439999,3581.613183,204.1203003
02 07 2020 17:40,3421.176025,11.96442986,3516.3102,201.9989014
02 07 2020 17:50,3406.040039,11.94577026,3513.264349,194.3786926
02 07 2020 18:00,3515.610107,12.20707989,3550.542117,189.5238037
02 07 2020 18:10,3515.965088,12.2751503,3558.399068,190.5794983
02 07 2020 18:20,3475.418945,12.72264004,3592.036307,187.6125031
02 07 2020 18:30,3471.156982,12.26537037,3557.31619,189.4371948
02 07 2020 18:40,3281.754883,11.70368958,3468.159913,192.2619019
02 07 2020 18:50,2955.11499,10.96352959,3259.412905,190.4571991
02 07 2020 19:00,3061.735107,11.29796982,3367.805139,192.8582001
02 07 2020 19:10,2679.110107,10.66594982,3141.292611,194.0843964
02 07 2020 19:20,2721.081055,10.8332901,3210.350601,195.2017975
02 07 2020 19:30,2649.136963,10.57837009,3102.339998,195.3432007
02 07 2020 19:40,2707.74292,10.38854027,3010.962279,201.797699
02 07 2020 19:50,2508.832031,10.08041954,2841.099422,204.2073975
02 07 2020 20:00,2316.647949,9.838738441,2687.688082,199.747406
02 07 2020 20:10,3081.542969,11.43999958,3406.637064,200.2402954
02 07 2020 20:20,3397.638916,11.94402981,3512.977172,201.1663971
02 07 2020 20:30,3391.716064,11.85929012,3498.353994,201.7106018
02 07 2020 20:40,3587.510986,12.81147957,3595.135782,201.3484955
02 07 2020 20:50,3603.112061,12.91353989,3597.284381,201.6768951
02 07 2020 21:00,3591.093018,12.72832012,3592.269026,202.4132996
02 07 2020 21:10,3221.044922,11.66357994,3459.656972,202.6618958
02 07 2020 21:20,2887.733887,11.0952301,3305.038612,204.061203
02 07 2020 21:30,2364.534912,10.16094971,2888.183469,203.3379059
02 07 2020 21:40,1935.847046,9.202415466,2275.211448,197.8013
02 07 2020 21:50,1549.480957,8.539284706,1852.273851,195.5061035
02 07 2020 22:00,1625.755981,8.809141159,2021.754239,187.4846039
02 07 2020 22:10,1994.222046,9.608460426,2523.60898,188.0238953
02 07 2020 22:20,2362,9.844923973,2691.848533,190.6604004
02 07 2020 22:30,2097.771973,9.338670731,2364.198743,196.7335968
02 07 2020 22:40,1564.590942,8.424916267,1781.899877,197.0158997
02 07 2020 22:50,1107.474976,7.656233788,1339.713949,188.6903992
02 07 2020 23:00,1303.116943,8.144581795,1613.847713,181.6596069
02 07 2020 23:10,1561.182007,8.54713726,1857.140175,173.5366974
02 07 2020 23:20,1544.999023,8.381804466,1755.627598,171.3834076
02 07 2020 23:30,1456.738037,7.850449085,1445.553534,179.8197937
02 07 2020 23:40,1795.644043,8.656551361,1925.374082,188.2382965
02 07 2020 23:50,2773.291016,10.92311954,3244.617174,179.039093
03 07 2020 00:00,2782.568115,10.4051199,3019.332696,176.9255981
03 07 2020 00:10,2446.424072,9.498130798,2468.761378,174.677002
03 07 2020 00:20,3412.39209,11.93025017,3510.684928,180.6725006
03 07 2020 00:30,3255.337891,11.07629013,3298.717792,183.8755035
03 07 2020 00:40,2796.876953,10.45788002,3045.466801,192.1911011
03 07 2020 00:50,2467.954102,9.791149139,2655.255241,197.104599
03 07 2020 07:00,1278.886963,7.626486778,1323.911052,202.940506
03 07 2020 07:10,1042.537964,7.287635803,1150.913828,207.3871002
03 07 2020 07:20,609.0761719,6.228209019,703.7205269,216.9989014
03 07 2020 07:30,175.4407043,4.47162199,216.0170723,222.5090942
03 07 2020 07:40,112.1109009,4.127829075,147.1041396,215.4514008
03 07 2020 07:50,271.9171143,5.032844067,344.1094784,202.5102997
03 07 2020 02:00,737.4487915,6.267045021,717.8434981,211.2003021
03 07 2020 02:10,1375.579956,7.763337135,1397.52319,193.6107025
03 07 2020 02:20,1520.890015,8.21955204,1658.119112,172.135498
03 07 2020 02:30,1349.112061,7.974888802,1515.649475,168.3569031
03 07 2020 02:40,889.1298218,6.794364929,926.0444806,171.1295013
03 07 2020 02:50,412.115509,5.536108017,479.4472407,162.7037964
03 07 2020 03:00,444.6036072,5.491714954,466.6197137,150.2816925
03 07 2020 03:10,655.7307129,6.076754093,650.187023,149.6408997
03 07 2020 03:20,882.5654297,6.69093895,882.7282325,152.2225037
03 07 2020 03:30,998.3845825,6.848011971,949.0116113,157.1643066
03 07 2020 03:40,1193.395996,7.759384155,1395.364787,152.699707
03 07 2020 03:50,1122.712036,7.417626858,1215.659509,152.076004
03 07 2020 04:00,1214.125977,7.472226143,1243.600054,154.7837982
